"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","1216","17","0","1233"
"2020","1","1156","16","0","1172"
"2019","2","1324","17","0","1341"
"2019","1","1339","9","0","1348"
"2018","2","1355","9","0","1364"
"2018","1","1256","1","15","1272"
"2017","2","1348","9","0","1357"
"2017","1","1280","4","0","1284"
"2016","2","1388","13","0","1401"
"2016","1","1290","3","3","1296"
"2015","2","1268","0","6","1274"
"2015","1","1317","2","4","1323"
"2014","2","1333","0","4","1337"
"2014","1","1149","0","2","1151"
"2013","2","1151","0","7","1158"
"2013","1","1172","0","2","1174"
"2012","2","1110","0","1","1111"
"2012","1","1290","1","2","1293"
"2011","2","","","","0"
"2011","1","1513","2","0","1515"
"2010","2","1317","2","0","1319"
"2010","1","1450","1","0","1451"
"2009","2","1198","0","0","1198"
"2009","1","1239","0","0","1239"
