"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","44","0","0","15","181","240"
"2020","1","27","14","20","21","62","144"
"2019","2","21","0","0","9","115","145"
"2019","1","32","14","29","18","54","147"
"2018","2","29","1","1","14","66","111"
"2018","1","32","22","28","25","32","139"
"2017","2","24","2","0","10","45","81"
"2017","1","28","15","17","21","7","88"
"2016","2","24","1","1","5","31","62"
"2016","1","23","17","21","25","5","91"
"2015","2","22","0","0","6","1","29"
"2015","1","28","16","31","26","2","103"
"2014","2","25","3","1","4","0","33"
"2014","1","29","19","17","33","0","98"
"2013","2","22","2","2","4","0","30"
"2013","1","25","21","33","20","0","99"
"2012","2","25","0","0","4","0","29"
"2012","1","33","18","53","41","0","145"
"2011","2","8","14","35","15","0","72"
"2011","1","18","17","59","30","0","124"
"2010","2","18","0","3","0","0","21"
"2010","1","36","17","42","1","0","96"
"2009","2","4","2","9","0","0","15"
"2009","1","7","26","30","0","0","63"
