"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","435","230","455","113","0","1233"
"2020","1","286","219","460","207","0","1172"
"2019","2","388","244","580","129","0","1341"
"2019","1","332","219","544","253","0","1348"
"2018","2","370","221","584","189","0","1364"
"2018","1","260","196","507","309","0","1272"
"2017","2","384","249","536","188","0","1357"
"2017","1","261","188","536","299","0","1284"
"2016","2","429","256","548","168","0","1401"
"2016","1","269","199","530","298","0","1296"
"2015","2","380","230","491","173","0","1274"
"2015","1","239","181","573","330","0","1323"
"2014","2","352","262","525","198","0","1337"
"2014","1","253","160","481","257","0","1151"
"2013","2","359","216","448","135","0","1158"
"2013","1","233","184","477","280","0","1174"
"2012","2","318","237","411","145","0","1111"
"2012","1","317","218","519","239","0","1293"
"2011","2","","","","","","0"
"2011","1","349","272","607","287","0","1515"
"2010","2","427","270","502","120","0","1319"
"2010","1","353","245","590","263","0","1451"
