"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","435","4518","5238","1518","0","11709"
"2020","1","391","704","111","40","0","1246"
"2019","2","117","4137","5294","1555","0","11103"
"2019","1","408","3830","5030","1474","0","10742"
"2018","2","168","3799","5208","1462","0","10637"
"2018","1","492","3648","5067","1379","0","10586"
"2017","2","442","3934","4871","1264","0","10511"
"2017","1","275","3571","5247","1461","0","10554"
"2016","2","426","4033","4838","1297","0","10594"
"2016","1","267","3582","5201","1448","0","10498"
"2015","2","490","4080","4783","1241","0","10594"
"2015","1","692","3745","4751","1200","0","10388"
"2014","2","87","3463","5264","1421","0","10235"
"2014","1","511","3667","4750","1231","0","10159"
"2013","2","319","3906","4648","1213","2","10088"
"2013","1","189","3487","5016","1431","2","10125"
"2012","2","370","4089","4485","1202","4","10150"
"2012","1","751","4035","4437","1175","5","10403"
"2011","2","","","","","","0"
"2011","1","342","3715","4809","1342","5","10213"
"2010","2","477","3829","4410","1188","2","9906"
"2010","1","350","3546","4776","1324","8","10004"
"2009","2","551","3721","4285","1108","21","9686"
"2009","1","369","3570","4765","1314","0","10018"
