"Año","Periodo","No","Sí","Total"
"2020","2","10476","1233","11709"
"2020","1","74","1172","1246"
"2019","2","9762","1341","11103"
"2019","1","9394","1348","10742"
"2018","2","9273","1364","10637"
"2018","1","9314","1272","10586"
"2017","2","9154","1357","10511"
"2017","1","9270","1284","10554"
"2016","2","9193","1401","10594"
"2016","1","9202","1296","10498"
"2015","2","9320","1274","10594"
"2015","1","9065","1323","10388"
"2014","2","8898","1337","10235"
"2014","1","9008","1151","10159"
"2013","2","8930","1158","10088"
"2013","1","8951","1174","10125"
"2012","2","9039","1111","10150"
"2012","1","9110","1293","10403"
"2011","2","9250","986","10236"
"2011","1","8698","1515","10213"
"2010","2","8587","1319","9906"
"2010","1","8553","1451","10004"
"2009","2","8488","1198","9686"
"2009","1","8779","1239","10018"
