"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","11613","96","0","11709"
"2020","1","1229","17","0","1246"
"2019","2","11033","70","0","11103"
"2019","1","10682","59","1","10742"
"2018","2","10576","60","1","10637"
"2018","1","10524","46","16","10586"
"2017","2","10466","44","1","10511"
"2017","1","10512","41","1","10554"
"2016","2","10553","40","1","10594"
"2016","1","10468","27","3","10498"
"2015","2","10563","6","25","10594"
"2015","1","10361","5","22","10388"
"2014","2","10216","3","16","10235"
"2014","1","10141","4","14","10159"
"2013","2","10070","4","14","10088"
"2013","1","10114","4","7","10125"
"2012","2","10140","4","6","10150"
"2012","1","10390","6","7","10403"
"2011","2","","","","0"
"2011","1","10206","4","3","10213"
"2010","2","9898","5","3","9906"
"2010","1","9996","5","3","10004"
"2009","2","9680","3","3","9686"
"2009","1","10010","5","3","10018"
