"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","244","91","133","165","450","1083"
"2020","1","29","14","20","22","64","149"
"2019","2","210","93","128","137","259","827"
"2019","1","203","104","142","145","168","762"
"2018","2","195","98","127","134","137","691"
"2018","1","201","111","154","136","94","696"
"2017","2","178","93","134","126","74","605"
"2017","1","187","104","152","131","35","609"
"2016","2","177","119","133","122","38","589"
"2016","1","170","124","154","121","8","577"
"2015","2","183","122","149","106","1","561"
"2015","1","170","104","192","108","2","576"
"2014","2","155","102","183","86","0","526"
"2014","1","150","114","190","97","0","551"
"2013","2","135","106","199","69","0","509"
"2013","1","135","118","215","71","0","539"
"2012","2","124","101","190","58","0","473"
"2012","1","122","113","213","69","0","517"
"2011","2","97","104","167","30","0","398"
"2011","1","91","123","188","38","0","440"
"2010","2","95","123","140","0","0","358"
"2010","1","103","136","163","1","0","403"
"2009","2","76","124","131","0","0","331"
"2009","1","84","145","138","0","0","367"
