"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","3334","2043","4515","1817","0","11709"
"2020","1","331","228","477","210","0","1246"
"2019","2","2992","1906","4353","1852","0","11103"
"2019","1","2834","1810","4192","1906","0","10742"
"2018","2","2779","1772","4183","1903","0","10637"
"2018","1","2777","1773","4087","1949","0","10586"
"2017","2","2814","1766","4102","1829","0","10511"
"2017","1","2776","1759","4151","1868","0","10554"
"2016","2","2892","1787","4137","1778","0","10594"
"2016","1","2766","1761","4139","1832","0","10498"
"2015","2","2885","1800","4139","1770","0","10594"
"2015","1","2744","1753","4092","1799","0","10388"
"2014","2","2784","1820","3982","1649","0","10235"
"2014","1","2785","1778","3971","1625","0","10159"
"2013","2","2813","1808","3906","1560","1","10088"
"2013","1","2764","1828","3949","1584","0","10125"
"2012","2","2776","1857","4017","1500","0","10150"
"2012","1","2842","1891","4157","1513","0","10403"
"2011","2","","","","","","0"
"2011","1","2695","1889","4150","1479","0","10213"
"2010","2","2648","1858","4016","1383","1","9906"
"2010","1","2586","1857","4116","1445","0","10004"
