"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o  más años","26 o más años","Sin información"
"2008-1",38,25,4,,,
"2008-2",18,18,5,1,,
"2009-1",39,14,5,6,,1
"2009-2",28,19,8,,,
"2010-1",47,20,12,,,
"2010-2",19,18,7,,,
"2011-1",69,23,9,1,,
"2011-2",26,27,13,2,,
"2012-1",67,24,7,1,,
"2012-2",42,29,6,,,
"2013-1",64,18,6,2,,
"2013-2",32,29,12,2,,
"2014-1",79,20,11,,,
"2014-2",47,32,6,4,,
"2015-1",63,15,2,1,,
"2015-2",31,18,4,1,,
"2016-1",69,16,2,2,,
"2016-2",46,33,12,3,,
"2017-1",160,53,6,2,,
"2017-2",73,71,21,6,,
"2018-1",207,50,5,2,,
"2018-2",114,90,29,4,,
"2019-1",218,41,5,,,
"2019-2",127,94,30,,5,
"2020-1",202,56,5,,1,
"2020-2",104,101,19,,2,
