"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o  más años","26 o más años","Sin información"
"2008-1",137,97,16,3,,
"2008-2",49,48,18,4,,
"2009-1",264,140,49,24,,2
"2009-2",81,53,28,3,,
"2010-1",220,135,39,11,,
"2010-2",49,58,27,3,,
"2011-1",529,266,65,10,,1
"2011-2",80,90,41,7,,
"2012-1",557,299,51,8,,
"2012-2",118,89,26,9,,
"2013-1",339,188,65,26,,1
"2013-2",107,104,37,14,,
"2014-1",447,232,72,11,,
"2014-2",171,135,32,12,,
"2015-1",482,241,67,16,,
"2015-2",147,82,31,9,,
"2016-1",302,126,27,5,,
"2016-2",161,102,37,6,,
"2017-1",1228,653,95,22,,4
"2017-2",376,376,75,16,,
"2018-1",1012,479,56,10,,
"2018-2",450,476,191,50,,
"2019-1",1541,416,71,8,,4
"2019-2",539,578,214,,56,
"2020-1",964,506,95,,19,1
"2020-2",452,519,199,,52,
