"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2009-1",12,58,10,26,
"2009-2",25,82,19,23,1
"2010-1",11,95,48,15,1
"2010-2",15,,58,11,2
"2011-1",21,125,102,9,1
"2011-2",,36,68,3,183
"2012-1",46,155,119,13,1
"2012-2",36,155,137,13,
"2013-1",23,182,174,26,
"2013-2",32,196,182,25,
"2014-1",98,288,211,29,
"2014-2",15,219,250,40,
"2015-1",51,223,240,31,
"2015-2",42,241,220,51,
"2016-1",30,219,263,69,
"2016-2",43,254,254,56,
"2017-1",49,288,285,70,
"2017-2",69,345,284,62,
"2018-1",106,371,326,68,
"2018-2",51,477,374,68,
"2019-1",86,525,363,62,
