"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2009-1",74,19,3,10
"2009-2",108,23,1,18
"2010-1",118,21,,31
"2010-2",111,23,,44
"2011-1",164,32,1,61
"2011-2",42,13,1,
"2012-1",219,33,1,81
"2012-2",221,30,2,88
"2013-1",240,37,3,125
"2013-2",275,42,2,116
"2014-1",455,52,7,112
"2014-2",375,40,4,105
"2015-1",396,43,7,99
"2015-2",419,43,7,85
"2016-1",458,43,9,71
"2016-2",492,44,8,63
"2017-1",569,56,8,59
"2017-2",638,68,9,45
"2018-1",704,78,11,78
"2018-2",831,77,11,51
"2019-1",908,86,12,30
