"Año","Periodo","No","Sí","Total"
"2021","1","351","1","352"
"2020","2","332","1","333"
"2020","1","342","1","343"
"2019","2","318","0","318"
"2019","1","321","1","322"
"2018","2","316","0","316"
"2018","1","331","0","331"
"2017","2","326","0","326"
"2017","1","311","0","311"
"2016","2","326","0","326"
"2016","1","424","0","424"
"2015","2","324","1","325"
"2015","1","393","0","393"
"2014","2","398","0","398"
"2014","1","365","0","365"
"2013","2","274","0","274"
"2013","1","406","0","406"
"2012","2","393","0","393"
"2012","1","526","0","526"
"2011","2","355","0","355"
"2011","1","425","0","425"
"2010","2","312","0","312"
"2010","1","354","0","354"
"2009","2","376","0","376"
"2009","1","0","0","0"
"2008","2","377","0","377"
"2008","1","370","0","370"
