"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","149","147","49","7","0","352"
"2020","2","87","171","68","7","0","333"
"2020","1","175","108","51","9","0","343"
"2019","2","89","134","72","22","1","318"
"2019","1","169","106","37","10","0","322"
"2018","2","84","150","66","16","0","316"
"2018","1","156","119","47","9","0","331"
"2017","2","100","145","66","15","0","326"
"2017","1","133","103","54","21","0","311"
"2016","2","85","162","64","15","0","326"
"2016","1","188","150","60","26","0","424"
"2015","2","104","160","45","16","0","325"
"2015","1","178","159","43","13","0","393"
"2014","2","124","192","67","15","0","398"
"2014","1","217","100","33","15","0","365"
"2013","2","104","124","34","12","0","274"
"2013","1","176","165","51","14","0","406"
"2012","2","136","179","60","18","0","393"
"2012","1","235","207","70","14","0","526"
"2011","2","119","152","64","20","0","355"
"2011","1","210","157","46","12","0","425"
"2010","2","139","108","57","8","0","312"
"2010","1","177","105","55","16","1","354"
"2009","2","166","136","60","14","0","376"
"2009","1","0","0","0","0","0","0"
"2008","2","184","131","51","11","0","377"
"2008","1","205","119","33","12","1","370"
