"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","9","0","4","9","24","46"
"2020","2","56","0","0","11","46","113"
"2020","1","34","0","9","54","25","122"
"2019","2","35","1","0","5","26","67"
"2019","1","18","0","7","22","42","89"
"2018","2","36","0","0","2","17","55"
"2018","1","16","0","12","18","20","66"
"2017","2","29","0","0","2","9","40"
"2017","1","22","0","10","22","7","61"
"2016","2","44","0","0","11","4","59"
"2016","1","30","0","20","28","0","78"
"2015","2","25","0","0","3","1","29"
"2015","1","19","0","10","27","1","57"
"2014","2","32","1","0","5","0","38"
"2014","1","9","0","5","9","0","23"
"2013","2","4","0","0","2","0","6"
"2013","1","16","0","21","22","","59"
"2012","2","24","0","0","5","","29"
"2012","1","34","0","28","53","","115"
"2011","2","22","0","0","3","","25"
"2011","1","17","0","24","25","","66"
"2010","2","5","2","8","8","","23"
"2010","1","7","0","12","12","","31"
"2009","2","4","2","9","","","15"
"2009","1","0","0","0","","","0"
"2008","2","14","6","13","","","33"
"2008","1","5","3","19","","","27"
