"Año","Periodo","Hombres","Mujeres","Total"
"2021","1","168","184","352"
"2020","2","154","179","333"
"2020","1","151","192","343"
"2019","2","160","158","318"
"2019","1","141","181","322"
"2018","2","160","156","316"
"2018","1","176","155","331"
"2017","2","154","172","326"
"2017","1","158","153","311"
"2016","2","154","172","326"
"2016","1","190","234","424"
"2015","2","157","168","325"
"2015","1","186","207","393"
"2014","2","213","185","398"
"2014","1","214","151","365"
"2013","2","160","114","274"
"2013","1","232","174","406"
"2012","2","243","150","393"
"2012","1","252","274","526"
"2011","2","206","149","355"
"2011","1","245","180","425"
"2010","2","177","135","312"
"2010","1","213","141","354"
"2009","2","208","168","376"
"2009","1","0","0","0"
"2008","2","196","181","377"
"2008","1","232","138","370"
