"Periodo";"Series 1 (low)";"Series 1 (q1)";"Series 1 (median)";"Series 1 (q3)";"Series 1 (high)"
"2014-2";261,1941;448,2617;520,8051;596,1724;816,7796
"2015-1";261,4774;407,25265;457,7371;505,82595;650,5824
"2015-2";218,4838;380,7391;439,2981;490,00865;653,8983
"2016-1";247,5598;409,027;466,91655;520,45295;677,9514
"2016-2";257,2266;390,3744;437,9074;487,2538;623,2391
"2017-1";253,4672;409,7447;462,26025;517,8055;672,2661
"2017-2";239,99;387,36;439,05;492,78;637,56
"2018-1";258,2105;409,86655;461,1046;515,6099;671,8151
"2018-2";226,0486;380,8402;436,2657;488,5718;648,8823
"2019-1";225,2794;360,2124;434,23745;492,7318;687,8355
"2019-2";243,2745;384,78765;431,69375;485,7384;627,0771
"2020-1";255,4387;402,75935;458,87185;502,37305;646,7989
"2020-2";255,0558;411,5384;465,8146;516,923;671,5384
"2021-1";236,5743;402,0178;462,13275;524,7026;697,4152
