"Año","Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información","Total"
"2020","2","39","59","59","0","157"
"2020","1","36","56","51","0","143"
"2019","2","39","82","96","0","217"
"2019","1","40","44","30","0","114"
"2018","2","90","80","65","0","235"
"2018","1","103","82","83","0","268"
"2017","2","74","77","66","0","217"
"2017","1","63","66","57","0","186"
"2016","2","64","53","75","0","192"
"2016","1","53","55","66","0","174"
"2015","2","49","52","52","0","153"
"2015","1","39","57","77","0","173"
"2014","2","42","50","52","0","144"
"2014","1","22","52","45","0","119"
"2013","2","22","58","71","0","151"
"2013","1","30","52","56","0","138"
"2012","2","26","64","49","1","140"
"2012","1","14","36","37","0","87"
"2011","2","32","27","16","0","75"
"2011","1","66","49","46","1","162"
"2010","2","69","41","42","0","152"
"2010","1","55","52","45","0","152"
