"Año","Periodo","Ciencias agropecuarias","Ingeniería y administración","Total"
"2020","2","45","112","157"
"2020","1","41","102","143"
"2019","2","37","180","217"
"2019","1","27","87","114"
"2018","2","86","149","235"
"2018","1","87","181","268"
"2017","2","81","136","217"
"2017","1","70","116","186"
"2016","2","59","133","192"
"2016","1","40","134","174"
"2015","2","56","97","153"
"2015","1","66","107","173"
"2014","2","52","92","144"
"2014","1","57","62","119"
"2013","2","58","93","151"
"2013","1","33","105","138"
"2012","2","44","96","140"
"2012","1","21","66","87"
"2011","2","39","36","75"
"2011","1","50","112","162"
"2010","2","42","110","152"
"2010","1","36","116","152"
"2009","2","60","128","188"
"2009","1","60","112","172"
