"Año","Periodo","PAES","PEAMA","Regular","Total"
"2020","2","19","4","134","157"
"2020","1","8","4","131","143"
"2019","2","14","8","195","217"
"2019","1","5","2","107","114"
"2018","2","31","5","199","235"
"2018","1","43","7","218","268"
"2017","2","22","3","192","217"
"2017","1","12","5","169","186"
"2016","2","15","","177","192"
"2016","1","14","1","159","174"
"2015","2","10","4","139","153"
"2015","1","14","","159","173"
"2014","2","7","","137","144"
"2014","1","7","1","111","119"
"2013","2","8","1","142","151"
"2013","1","7","","131","138"
"2012","2","14","","126","140"
"2012","1","8","","79","87"
"2011","2","7","","68","75"
"2011","1","6","","156","162"
"2010","2","5","","147","152"
"2010","1","6","","146","152"
"2009","2","1","","187","188"
"2009","1","4","","168","172"
