"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","239","31","2","3","275"
"2020","1","227","29","2","2","260"
"2019","2","213","37","8","0","258"
"2019","1","192","37","8","0","237"
"2018","2","199","62","7","4","272"
"2018","1","183","46","13","4","246"
"2017","2","216","44","5","2","267"
"2017","1","186","46","9","2","243"
"2016","2","198","48","6","3","255"
"2016","1","255","52","9","2","318"
"2015","2","202","65","13","1","281"
"2015","1","230","59","9","2","300"
"2014","2","254","63","18","0","335"
"2014","1","98","32","5","0","135"
"2013","2","123","74","16","0","213"
"2013","1","233","70","11","6","320"
"2012","2","225","84","23","1","333"
"2012","1","327","79","8","3","417"
"2011","2","","","","","0"
"2011","1","256","75","13","2","346"
"2010","2","151","64","17","3","235"
"2010","1","199","70","18","2","289"
"2009","2","184","75","16","2","277"
"2009","1","7","3","1","0","11"
