"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","391","310","0","0","0","382","1669","0","2752"
"2020","1","376","293","0","0","0","355","1610","0","2634"
"2019","2","369","281","0","0","0","341","1598","0","2589"
"2019","1","353","283","0","0","0","326","1583","0","2545"
"2018","2","338","292","0","0","0","330","1623","0","2583"
"2018","1","318","298","0","0","0","338","1678","0","2632"
"2017","2","318","298","0","0","0","353","1758","0","2727"
"2017","1","331","311","0","0","0","371","1801","0","2814"
"2016","2","332","318","0","0","0","388","1788","0","2826"
"2016","1","336","318","0","0","0","381","1834","0","2869"
"2015","2","306","315","0","0","0","385","1792","0","2798"
"2015","1","318","330","0","0","0","369","1763","0","2780"
"2014","2","307","331","0","0","0","366","1742","0","2746"
"2014","1","279","313","0","0","0","346","1679","0","2617"
"2013","2","332","321","0","0","0","353","1690","0","2696"
"2013","1","371","318","0","0","0","363","1657","0","2709"
"2012","2","359","324","0","0","0","339","1620","0","2642"
"2012","1","326","308","0","0","0","318","1554","0","2506"
"2011","2","331","297","0","0","0","302","1420","0","2350"
"2011","1","308","290","0","0","0","302","1410","0","2310"
"2010","2","297","291","0","0","0","300","1317","0","2205"
"2010","1","304","293","0","0","0","290","1322","0","2209"
"2009","2","306","281","0","0","0","290","1393","0","2270"
"2009","1","296","274","0","0","0","284","1398","0","2252"
