"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","2219","444","67","22","2752"
"2020","1","2090","454","70","20","2634"
"2019","2","2027","465","79","18","2589"
"2019","1","1964","478","83","20","2545"
"2018","2","1965","504","95","19","2583"
"2018","1","2001","518","98","15","2632"
"2017","2","2047","567","99","14","2727"
"2017","1","2095","594","107","18","2814"
"2016","2","2078","622","107","19","2826"
"2016","1","2089","640","121","19","2869"
"2015","2","2010","646","117","25","2798"
"2015","1","1978","661","113","28","2780"
"2014","2","1931","661","124","30","2746"
"2014","1","1816","661","117","23","2617"
"2013","2","1843","696","131","26","2696"
"2013","1","1874","678","125","32","2709"
"2012","2","1828","672","124","18","2642"
"2012","1","1734","635","112","25","2506"
"2011","2","","","","","0"
"2011","1","1528","642","116","24","2310"
"2010","2","1424","637","120","24","2205"
"2010","1","1427","636","121","25","2209"
"2009","2","1446","676","124","24","2270"
"2009","1","1440","679","108","25","2252"
