"Año","Periodo","Especial","Regular","Total"
"2020","2","614","2138","2752"
"2020","1","538","2096","2634"
"2019","2","466","2123","2589"
"2019","1","420","2125","2545"
"2018","2","367","2216","2583"
"2018","1","357","2275","2632"
"2017","2","355","2372","2727"
"2017","1","364","2450","2814"
"2016","2","340","2486","2826"
"2016","1","339","2530","2869"
"2015","2","314","2484","2798"
"2015","1","316","2464","2780"
"2014","2","297","2449","2746"
"2014","1","297","2320","2617"
"2013","2","276","2420","2696"
"2013","1","289","2420","2709"
"2012","2","250","2392","2642"
"2012","1","251","2255","2506"
"2011","2","182","2168","2350"
"2011","1","173","2137","2310"
"2010","2","144","2061","2205"
"2010","1","138","2071","2209"
"2009","2","125","2145","2270"
"2009","1","130","2122","2252"
