"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","2118","65","567","2","2752"
"2020","1","1999","57","575","3","2634"
"2019","2","1948","52","586","3","2589"
"2019","1","1895","52","594","4","2545"
"2018","2","1891","62","624","6","2583"
"2018","1","1945","62","625","0","2632"
"2017","2","2014","62","647","4","2727"
"2017","1","2069","64","675","6","2814"
"2016","2","2076","59","686","5","2826"
"2016","1","2099","61","701","8","2869"
"2015","2","2015","60","715","8","2798"
"2015","1","2000","59","712","9","2780"
"2014","2","1962","57","718","9","2746"
"2014","1","1867","58","684","8","2617"
"2013","2","1896","54","736","10","2696"
"2013","1","1910","53","734","12","2709"
"2012","2","1840","59","733","10","2642"
"2012","1","1757","56","685","8","2506"
"2011","2","","","","","0"
"2011","1","1570","46","686","8","2310"
"2010","2","1462","49","686","8","2205"
"2010","1","1444","52","703","10","2209"
