"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","193","0","19","102","112","426"
"2020","1","163","0","27","104","77","371"
"2019","2","144","0","25","79","68","316"
"2019","1","133","0","28","79","53","293"
"2018","2","138","0","27","70","33","268"
"2018","1","128","1","38","79","28","274"
"2017","2","135","1","45","90","15","286"
"2017","1","136","1","53","100","11","301"
"2016","2","133","1","56","89","4","283"
"2016","1","123","2","63","95","1","284"
"2015","2","119","10","54","81","1","265"
"2015","1","112","4","65","84","1","266"
"2014","2","112","3","65","71","0","251"
"2014","1","98","4","68","73","0","243"
"2013","2","104","5","70","67","0","246"
"2013","1","106","5","76","72","0","259"
"2012","2","105","5","62","56","0","228"
"2012","1","89","7","75","64","0","235"
"2011","2","82","7","53","25","0","167"
"2011","1","72","8","59","25","0","164"
"2010","2","81","8","48","0","0","137"
"2010","1","81","6","45","2","0","134"
"2009","2","71","7","46","0","0","124"
"2009","1","70","10","49","0","0","129"
