"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","1445","464","762","81","0","2752"
"2020","1","1371","432","750","81","0","2634"
"2019","2","1306","427","758","98","0","2589"
"2019","1","1267","419","756","103","0","2545"
"2018","2","1265","445","747","126","0","2583"
"2018","1","1335","456","717","124","0","2632"
"2017","2","1380","480","749","118","0","2727"
"2017","1","1456","494","737","127","0","2814"
"2016","2","1436","510","754","126","0","2826"
"2016","1","1459","514","753","143","0","2869"
"2015","2","1401","500","747","150","0","2798"
"2015","1","1391","495","757","137","0","2780"
"2014","2","1390","507","714","135","0","2746"
"2014","1","1334","489","669","125","0","2617"
"2013","2","1358","508","690","140","0","2696"
"2013","1","1385","520","685","119","0","2709"
"2012","2","1342","530","653","117","0","2642"
"2012","1","1278","502","618","108","0","2506"
"2011","2","","","","","","0"
"2011","1","1114","483","614","99","0","2310"
"2010","2","1058","447","598","102","0","2205"
"2010","1","1056","441","615","97","0","2209"
