"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","426","","188","2138","2752"
"2020","1","371","","167","2096","2634"
"2019","2","316","","150","2123","2589"
"2019","1","293","","127","2125","2545"
"2018","2","268","","99","2216","2583"
"2018","1","274","","83","2275","2632"
"2017","2","286","","69","2372","2727"
"2017","1","301","","63","2450","2814"
"2016","2","283","","57","2486","2826"
"2016","1","284","","55","2530","2869"
"2015","2","265","","49","2484","2798"
"2015","1","266","","50","2464","2780"
"2014","2","251","","46","2449","2746"
"2014","1","243","","54","2320","2617"
"2013","2","246","","30","2420","2696"
"2013","1","259","","30","2420","2709"
"2012","2","228","","22","2392","2642"
"2012","1","235","","16","2255","2506"
"2011","2","167","","15","2168","2350"
"2011","1","164","1","8","2137","2310"
"2010","2","137","","7","2061","2205"
"2010","1","134","","4","2071","2209"
"2009","2","124","","1","2145","2270"
"2009","1","129","1","","2122","2252"
